City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Sitka,US,2021-06-17 23:56:17,57.0531,-135.33,57.49,71,99,4.56
243,Camana,PE,2021-06-17 23:56:17,-16.6228,-72.7111,64.78,85,51,6.46
244,Kitimat,CA,2021-06-17 23:56:17,54.0524,-128.6534,58.91,89,100,2.33
245,Flinders,AU,2021-06-17 23:56:08,-34.5833,150.8552,60.19,64,12,10.0
246,Pisco,PE,2021-06-17 23:54:50,-13.7,-76.2167,68.05,73,0,6.91
247,Tautira,PF,2021-06-17 23:56:18,-17.7333,-149.15,84.22,81,97,15.68
248,Fortuna,US,2021-06-17 23:56:18,40.5982,-124.1573,84.18,67,1,7.0
249,Roald,NO,2021-06-17 23:56:19,62.5833,6.1333,57.16,100,75,0.0
250,Bengkulu,ID,2021-06-17 23:56:19,-3.8004,102.2655,75.45,80,100,0.92
251,Torbay,CA,2021-06-17 23:56:19,47.6666,-52.7314,61.57,87,75,14.97
252,Rosarito,MX,2021-06-17 23:56:20,32.3333,-117.0333,92.93,60,11,5.5
253,Provideniya,RU,2021-06-17 23:56:20,64.3833,-173.3,39.31,87,90,8.95
254,Constitucion,CL,2021-06-17 23:56:21,-35.3333,-72.4167,53.35,83,1,3.6
255,Wangkui,CN,2021-06-17 23:56:21,46.8333,126.5,59.34,73,85,9.95
256,Nagato,JP,2021-06-17 23:56:21,34.3833,131.2,71.51,98,100,4.23
257,Jiutai,CN,2021-06-17 23:56:22,44.1525,125.8328,61.14,57,33,15.1
258,Garissa,KE,2021-06-17 23:56:22,-0.4536,39.6401,73.31,81,82,15.28
259,Katsuura,JP,2021-06-17 23:56:22,35.1333,140.3,76.23,69,10,2.26
260,Jawhar,SO,2021-06-17 23:56:23,2.7809,45.5005,74.61,88,93,11.23
261,Soe,ID,2021-06-17 23:56:23,-9.8607,124.284,72.93,62,83,6.06
262,Novyy Urengoy,RU,2021-06-17 23:56:23,66.0833,76.6333,39.81,88,100,21.7
263,Te Anau,NZ,2021-06-17 23:56:24,-45.4167,167.7167,40.26,81,33,0.34
264,Zahir Pir,PK,2021-06-17 23:56:24,28.8124,70.524,86.04,57,18,8.21
265,Havre-Saint-Pierre,CA,2021-06-17 23:56:24,50.2334,-63.5986,52.39,93,90,5.75
266,Longyearbyen,SJ,2021-06-17 23:52:56,78.2186,15.6401,28.17,91,26,2.91
267,Keningau,MY,2021-06-17 23:56:25,5.3378,116.1602,77.45,93,68,0.87
268,Ashta,IN,2021-06-17 23:56:25,23.0167,76.7167,78.58,77,100,10.76
269,Tutoia,BR,2021-06-17 23:56:26,-2.7619,-42.2744,78.31,88,41,7.96
270,Woodward,US,2021-06-17 23:56:26,36.4337,-99.3904,97.72,21,1,17.27
271,Sederot,IL,2021-06-17 23:56:27,31.525,34.5969,69.19,76,0,3.78
272,Shache,CN,2021-06-17 23:56:27,38.4167,77.2406,62.65,57,100,5.64
273,Honiara,SB,2021-06-17 23:56:27,-9.4333,159.95,86.16,62,25,1.83
274,Zhongshan,CN,2021-06-17 23:56:28,21.3226,110.5829,85.28,73,18,2.39
275,Okha,RU,2021-06-17 23:56:28,53.5739,142.9478,45.23,86,100,13.67
276,Batemans Bay,AU,2021-06-17 23:56:28,-35.7167,150.1833,55.2,59,37,5.57
277,Padang,ID,2021-06-17 23:53:53,-0.9492,100.3543,73.45,71,100,3.83
278,Saint-Denis,FR,2021-06-17 23:56:29,48.9167,2.3333,68.22,91,0,2.3
279,Ancud,CL,2021-06-17 23:56:29,-41.8697,-73.8203,38.73,77,0,7.72
280,San Isidro,PE,2021-06-17 23:56:30,-12.1167,-77.05,68.02,87,90,6.91
281,Port Hardy,CA,2021-06-17 23:56:30,50.6996,-127.4199,57.38,82,90,13.8
282,Guerrero Negro,MX,2021-06-17 23:56:30,27.9769,-114.0611,73.53,58,12,17.4
283,Gorin,RU,2021-06-17 23:56:31,51.1983,136.6669,64.6,67,100,9.69
284,Aquiraz,BR,2021-06-17 23:56:31,-3.9014,-38.3911,82.49,85,8,12.37
285,Miri,MY,2021-06-17 23:56:31,4.4148,114.0089,77.14,94,40,5.75
286,Marabba,SD,2021-06-17 23:56:32,12.35,32.1833,85.05,51,88,8.52
287,Kalachinsk,RU,2021-06-17 23:56:32,55.0529,74.5751,62.31,80,84,5.68
288,Garowe,SO,2021-06-17 23:56:32,8.4054,48.4845,75.51,65,74,24.74
289,Phuket,TH,2021-06-17 23:52:11,8.0,98.25,87.1,92,20,3.44
290,Kingman,US,2021-06-17 23:56:33,35.1894,-114.053,110.3,16,76,11.95
291,Ilulissat,GL,2021-06-17 23:56:33,69.2167,-51.1,37.81,81,70,4.83
292,Meadow Lake,US,2021-06-17 23:56:34,34.8014,-106.5436,97.61,16,5,13.8
293,Almirante,PA,2021-06-17 23:56:34,9.3,-82.4,83.89,82,58,1.03
